YYYY,MM,DD,hh.h,hh._m,days,days_m,max_Kp,ap,D
2022,1,27,18.00 ,19.50 ,32899.75000 ,32899.81250 ,3.000 ,15,1
2022,1,28,21.00 ,22.50 ,32900.87500 ,32900.93750 ,3.667 ,22,1
2022,1,29,0.00 ,1.50 ,32901.00000 ,32901.06250 ,4.000 ,27,1
2022,1,30,21.00 ,22.50 ,32902.87500 ,32902.93750 ,3.000 ,15,1
2022,1,31,9.00 ,10.50 ,32903.37500 ,32903.43750 ,3.000 ,15,1
2022,2,01,21.00 ,22.50 ,32904.87500 ,32904.93750 ,3.333 ,18,0
2022,2,03,9.00 ,10.50 ,32906.37500 ,32906.43750 ,5.333 ,56,0
2022,2,04,15.00 ,16.50 ,32907.62500 ,32907.68750 ,5.333 ,56,0
2022,2,05,0.00 ,1.50 ,32908.00000 ,32908.06250 ,3.000 ,15,0
2022,2,05,3.00 ,4.50 ,32908.12500 ,32908.18750 ,3.000 ,15,0
2022,2,06,0.00 ,1.50 ,32909.00000 ,32909.06250 ,3.667 ,22,0
2022,2,07,0.00 ,1.50 ,32910.00000 ,32910.06250 ,2.333 ,9,0
2022,2,08,0.00 ,1.50 ,32911.00000 ,32911.06250 ,2.000 ,7,0
2022,2,09,21.00 ,22.50 ,32912.87500 ,32912.93750 ,2.000 ,7,0
2022,2,10,18.00 ,19.50 ,32913.75000 ,32913.81250 ,5.000 ,48,0

